0,1
you,like
do,you
you,<\s>
is,it
it,your
do,you
you,like
<s>,i
i,thought
thought,you
you,like
<s>,we
we,saw
didn't,we
we,when
when,we
we,went
<s>,he
he,was
wasn't,he
he,<\s>
so,it
it,fits
how,you
you,wear
wear,it
it,isn't
isn't,it
it,<\s>
are,you
you,going
goodness,me
me,<\s>
isn't,it
it,<\s>
<s>,it
it,is
isn't,it
it,<\s>
isn't,it
it,<\s>
hasn't,she
she,<\s>
seen,them
them,when
now,we
we,had
didn't,we
we,<\s>
<s>,we
we,were
aren't,they
they,<\s>
isn't,it
it,<\s>
doesn't,she
she,<\s>
do,you
you,do
pull,it
it,don't
don't,you
you,<\s>
had,her
her,hair
isn't,it
it,<\s>
is,it
it,a
isn't,it
it,<\s>
haven't,you
you,<\s>
yes,it
it,uses
doesn't,he
he,<\s>
are,her
her,eyes
aren't,they
they,<\s>
hasn't,she
she,<\s>
hasn't,she
she,<\s>
what're,you
you,going
got,them
them,in
<s>,you
you,want
do,you
you,<\s>
would,you
you,like
oh,it
it,says
doesn't,it
it,<\s>
isn't,it
it,<\s>
is,it
it,<\s>
because,it
it,won't
haven't,you
you,<\s>
put,them
them,on
shall,we
we,play
when,we
we,go
<s>,i
i,don't
think,i
i,don't
think,you
you,could
done,it
it,better
if,you
you,were
mix,them
them,up
isn't,it
it,<\s>
is,it
it,<\s>
no,we
we,put
don't,we
we,<\s>
got,them
them,all
haven't,you
you,<\s>
aren't,they
they,<\s>
did,we
we,have
did,we
we,have
<s>,we
we,didn't
<s>,we
we,went
didn't,we
we,<\s>
did,we
we,have
didn't,we
we,<\s>
did,we
we,have
oh,it
it,was
wasn't,it
it,<\s>
<s>,we
we,hadta
for,it
it,to
didn't,we
we,<\s>
did,we
we,have
<s>,we
we,had
didn't,we
we,<\s>
isn't,it
it,<\s>
isn't,it
it,<\s>
that,you
you,buy
no,it
it,doesn't
<s>,you
you,use
don't,you
you,<\s>
do,you
you,have
oh,i
i,don't
<s>,you
you,can't
can,you
you,<\s>
what,it
it,looks
isn't,it
it,<\s>
isn't,it
it,<\s>
is,it
it,<\s>
aren't,they
they,<\s>
isn't,it
it,<\s>
what,it
it,looks
with,it
it,<\s>
oh,i
i,think
about,it
it,<\s>
give,her
her,a
give,her
her,a
are,you
you,going
give,her
her,a
are,you
you,going
give,her
her,a
<s>,you
you,don't
with,you
you,isn't
isn't,she
she,<\s>
is,she
she,going
are,you
you,going
give,her
her,a
are,you
you,<\s>
shall,we
we,put
on,her
her,<\s>
is,it
it,a
don't,they
they,<\s>
are,you
you,putting
are,you
you,<\s>
do,you
you,usually
<s>,you
you,usually
