	Unnamed: 0	Unnamed: 0.1	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
41	41	41	48	5.393939393939394	3670	505	285	1	597	493	218	0.12052354117433195	190	19	131	25	4	4	2	12	0	10	19	89	1645	232	78	2	213	204	85	86	89	14	408
42	42	42	49	5.8172757475083055	5229	729	425	0	798	620	323	0.09630387517585368	250	34	134	30	5	2	2	53	0	34	15	170	2481	315	82	0	340	284	118	86	91	17	604
43	43	43	51	5.790102389078497	3335	465	299	1	544	370	188	0.12680819086981027	216	29	96	16	8	12	4	7	0	4	3	70	1759	220	82	1	239	193	97	114	75	20	335
44	44	44	51	6.4555921052631575	3875	454	288	0	595	494	280	0.12617473024712844	190	50	117	19	2	1	0	12	1	6	7	49	1820	213	80	0	240	243	122	80	61	8	446
45	45	45	52	6.1684532924961735	3977	402	229	1	555	498	326	0.12173612311948814	160	22	100	6	6	7	1	9	0	12	6	73	891	103	34	0	121	100	50	68	63	16	408
46	46	46	52	5.897510980966325	4005	462	301	0	590	435	252	0.12250527340580886	196	31	68	15	5	9	2	8	0	23	12	93	311	45	20	0	35	34	12	93	72	21	404
47	47	47	53	5.924107142857142	3863	499	289	2	612	488	215	0.1352819936293798	185	22	124	24	8	4	3	27	0	11	5	86	957	122	39	0	133	117	49	98	83	21	410
48	48	48	55	5.976501305483029	4495	609	398	10	749	483	277	0.12346089850249585	206	43	128	39	23	8	4	33	2	31	9	83	1158	153	48	0	152	149	70	133	102	23	491
49	49	49	55	6.1234567901234565	3926	489	318	11	580	466	252	0.11920757967269595	177	31	105	19	5	24	7	19	2	22	12	66	840	94	43	0	86	132	81	139	68	22	351
50	50	50	56	5.8147410358565725	2804	384	221	5	408	292	137	0.1367965367965368	111	22	88	17	5	6	4	22	5	24	5	75	1083	155	50	0	153	114	49	73	43	9	283
51	51	51	57	5.886054421768707	3361	451	258	0	489	435	236	0.13694080875170933	163	26	90	18	5	3	3	15	3	11	11	103	1085	133	46	0	157	122	53	87	60	12	330
52	52	52	58	5.837110481586403	3958	464	288	1	621	567	313	0.12679671457905545	192	21	83	11	3	4	0	19	1	24	13	93	607	83	28	0	77	58	35	127	72	26	396
53	53	53	59	5.8076923076923075	4480	597	305	0	747	604	286	0.11585539424992886	181	35	148	14	6	7	4	29	3	14	12	144	1030	155	56	0	143	133	61	136	93	28	490
54	54	54	62	5.9017857142857135	5094	651	349	2	860	544	213	0.11226299277042696	241	30	162	5	4	11	8	25	1	11	13	140	1241	179	51	0	177	118	59	116	96	28	620
