,Unnamed: 0,fileid,age,mlu,#words,#pronouns,#cased_pronoun,#errors,#verb,#noun,#determiner,richness,#I,#me,#you,#he,#him,#she,#her,#we,#us,#they,#them,#it,#parentwords,#parentpronouns,parentcased_pronouns,parenterrors,#parent_verb,#parent_noun,#parent_determiner,#past,#present,#perfect,#untensed
33,33,Bates/Free28/keith ,28,3.388888889,65,9,7,0,4,11,5,0.433179724,5,1,2,1,0,0,0,0,0,0,0,0,152,21,10,0,22,24,10,0,0,0,4
34,34,Bates/Free28/keith ,28,3.083333333,165,13,12,0,20,33,13,0.280931587,6,0,0,2,0,1,0,1,0,2,0,1,522,52,29,0,83,70,42,3,2,2,13
35,35,Bates/Free28/keith ,28,3.865384615,205,28,26,0,27,41,21,0.232394366,7,0,1,5,0,11,3,0,0,0,0,1,634,97,68,0,99,62,27,4,8,2,13
36,36,Bates/Free28/kent ,28,2.921052632,145,15,2,0,21,26,4,0.28125,1,0,1,1,0,0,0,0,0,0,0,12,267,22,5,0,27,45,12,2,0,0,19
37,37,Bates/Free28/kent ,28,2.838235294,223,2,0,0,26,27,6,0.250501002,0,0,0,0,0,0,0,0,0,0,0,2,276,13,3,0,32,31,30,0,5,0,21
38,38,Bates/Free28/kent ,28,1.612903226,68,0,0,0,2,16,2,0.307992203,0,0,0,0,0,0,0,0,0,0,0,0,443,43,33,0,51,55,33,0,0,0,2
39,39,Bates/Free28/linda ,28,2.904761905,72,9,8,0,8,16,2,0.360097324,7,0,0,0,0,0,0,0,0,0,1,1,337,51,15,0,45,40,8,0,0,0,8
40,40,Bates/Free28/linda ,28,2.723404255,134,6,2,0,10,19,1,0.326315789,2,0,0,0,0,0,0,0,0,0,0,4,246,26,11,0,26,29,17,0,1,0,9
41,41,Bates/Free28/linda ,28,1.941176471,32,2,1,0,4,8,3,0.425702811,0,0,0,1,0,0,0,0,0,0,0,1,217,23,13,1,27,33,17,0,3,0,1
42,42,Bates/Free28/mandy ,28,2.137931034,63,2,2,0,9,21,8,0.408312958,1,0,0,0,0,1,0,0,0,0,0,0,346,36,26,0,43,41,26,1,2,0,6
