,Unnamed: 0,file,age,mlu,#words,#pronouns,#cased_pronoun,#errors,#verb,#noun,#determiner,richness,#I,#me,#you,#he,#him,#she,#her,#we,#us,#they,#them,#it,#parentwords,#parentpronouns,parentcased_pronouns,parenterrors,#parent_verb,#parent_noun,#parent_determiner,#past,#present,#perfect,#untensed
151,151,HSLLD/HV1/jer,48,4.157894737,146,10,5,0,14,23,19,0.166904422,3,0,3,1,0,0,0,0,0,1,0,2,1237,235,188,0,133,159,97,3,1,0,10
152,152,HSLLD/HV1/jer,49,4.421052632,80,7,7,0,10,12,5,0.307692308,6,0,0,0,0,0,0,1,0,0,0,0,291,47,19,0,41,34,22,7,1,0,2
153,153,HSLLD/HV1/jer,49,6.206349206,399,66,46,0,51,62,21,0.228842832,40,5,4,0,0,0,1,0,0,0,0,16,759,95,14,0,115,98,28,8,3,0,40
154,154,HSLLD/HV1/jer,49,3.897435897,439,36,17,1,56,49,23,0.214435879,8,3,7,0,0,0,1,1,0,4,0,12,882,70,24,0,109,127,59,4,4,1,47
155,155,HSLLD/HV1/jes,43,3.966666667,251,26,21,0,23,41,14,0.241505969,4,2,1,10,0,0,0,4,0,0,1,4,1887,199,127,0,236,319,112,8,3,0,12
156,156,HSLLD/HV1/jes,43,4.181818182,223,20,14,0,31,42,9,0.319488818,10,2,1,0,0,0,0,1,1,0,0,5,402,58,25,0,69,47,17,11,6,0,14
157,157,HSLLD/HV1/jes,43,5.295774648,384,36,26,2,47,29,9,0.224610425,12,8,9,6,0,0,0,0,0,0,0,1,750,86,29,0,137,94,17,10,7,3,27
158,158,HSLLD/HV1/jes,43,4.4,399,35,15,0,32,64,17,0.242896425,1,3,16,4,0,0,0,2,0,2,3,4,657,74,29,0,92,73,49,5,2,2,23
159,159,HSLLD/HV1/joe,51,4.214285714,65,7,7,0,8,10,3,0.308747856,3,0,0,3,1,0,0,0,0,0,0,0,510,37,21,0,93,106,53,0,0,0,8
160,160,HSLLD/HV1/joe,51,7.142857143,48,10,10,0,6,6,1,0.415873016,2,1,0,5,0,0,0,1,0,0,1,0,252,38,22,0,25,26,14,2,1,0,3
161,161,HSLLD/HV1/joe,51,5.166666667,436,54,41,0,50,51,13,0.245626822,38,2,6,0,0,0,0,1,0,0,0,7,690,91,33,0,98,90,35,11,5,3,31
162,162,HSLLD/HV1/joy,48,4.8125,75,3,2,0,6,11,4,0.432291667,1,0,0,1,0,0,0,0,0,0,0,1,652,56,44,0,72,134,38,2,3,0,1
163,163,HSLLD/HV1/joy,48,6.565217391,134,23,18,0,22,18,9,0.412371134,6,3,3,1,0,0,0,7,0,1,0,2,110,17,10,0,13,14,7,19,5,2,-4
164,164,HSLLD/HV1/joy,48,5.881355932,326,45,29,0,40,35,12,0.284137931,20,4,7,1,0,4,0,0,0,0,0,9,523,83,42,0,67,69,24,15,10,4,11
165,165,HSLLD/HV1/joy,48,5.714285714,515,63,25,0,71,73,14,0.239449541,17,0,22,1,0,0,0,3,2,0,2,16,422,53,24,0,44,33,12,10,12,1,48
166,166,HSLLD/HV1/jus,46,5.273504274,601,69,59,0,71,78,25,0.216319592,42,8,4,7,2,0,0,0,0,0,0,6,1600,142,83,0,185,242,112,12,6,1,52
167,167,HSLLD/HV1/jus,46,9.666666667,137,20,20,0,14,18,9,0.448275862,9,3,0,8,0,0,0,0,0,0,0,0,66,8,4,0,10,1,1,10,4,1,-1
168,168,HSLLD/HV1/jus,46,5.2,132,13,12,0,14,20,5,0.436936937,5,2,0,0,0,0,0,5,0,0,0,1,90,10,4,0,11,18,2,6,5,0,3
169,169,HSLLD/HV1/jus,46,5.016574586,903,81,59,0,108,135,34,0.177908556,32,7,16,0,0,1,2,4,0,9,4,6,1176,124,46,0,161,153,52,15,17,3,73
170,170,HSLLD/HV1/kar,45,2.072727273,359,12,7,0,17,105,34,0.180549093,4,2,2,1,0,0,0,0,0,0,0,3,1687,173,102,0,184,241,117,2,2,0,13
171,171,HSLLD/HV1/kar,45,2.378378378,103,12,11,0,7,9,6,0.240215924,2,1,1,1,0,0,0,2,0,4,1,0,533,72,40,0,65,50,28,2,1,0,4
