age	Unnamed: 0	Unnamed: 0.1	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	age	%pronouns	%error	%verb	%noun	%verb_tensed	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
21	2	2	2.870967741935484	829	87	67	2	121	108	0	0.1203155818540434	41	6	4	7	1	2	6	2	0	2	0	16	3109	352	118	1	476	292	162	8	12	2	99	21	0.08082026537997587	0.029850746268656716	0.14595898673100122	0.13027744270205066	0.18181818181818182	0.0	0.037954326149887425	0.15310389192666451	0.09392087487938244	0.05210678674815053
22	3	3	2.789855072463768	438	47	36	0	54	67	24	0.12255475672964387	13	11	3	4	2	0	3	0	0	3	0	8	3560	408	170	0	525	424	204	5	3	2	44	22	0.0821917808219178	0.0	0.1232876712328767	0.15296803652968036	0.18518518518518517	0.0547945205479452	0.047752808988764044	0.14747191011235955	0.11910112359550562	0.05730337078651685
24	4	4	3.3227091633466137	912	109	74	1	113	118	26	0.12084592145015105	57	3	2	3	2	1	6	1	0	1	0	33	3078	323	112	1	485	319	172	16	4	0	93	24	0.08114035087719298	0.013513513513513514	0.12390350877192982	0.12938596491228072	0.17699115044247787	0.02850877192982456	0.036387264457439894	0.15756985055230668	0.10363872644574398	0.05588044184535412
25	5	5	2.804255319148936	767	73	53	0	84	93	28	0.09838941157710096	29	8	2	2	1	0	12	1	0	0	0	18	3119	298	118	0	405	383	168	14	9	2	59	25	0.06910039113428944	0.0	0.10951760104302477	0.121251629726206	0.2976190476190476	0.03650586701434159	0.03783263866623918	0.12984931067649888	0.12279576787431869	0.05386341776210324
26	6	6	3.2089552238805967	742	82	68	7	74	102	41	0.13053022627490712	36	5	8	3	10	1	5	0	0	7	1	6	3641	351	151	0	486	514	212	19	3	1	51	26	0.09164420485175202	0.10294117647058823	0.09973045822102426	0.13746630727762804	0.3108108108108108	0.05525606469002695	0.04147212304312002	0.1334798132381214	0.14117000823949463	0.058225762153254604
27	7	7	3.966666666666667	771	102	92	0	119	69	39	0.13795918367346938	67	3	4	9	1	1	1	7	0	3	0	6	2729	307	137	2	424	373	148	20	2	2	95	27	0.11932555123216602	0.0	0.1543450064850843	0.08949416342412451	0.20168067226890757	0.05058365758754864	0.05020153902528399	0.15536826676438256	0.1366801026016856	0.054232319530963725
28	8	8	3.9204545454545454	790	77	54	0	88	88	31	0.12930658525948538	39	7	1	3	1	1	0	0	0	3	0	22	2836	336	115	0	440	300	138	14	8	1	65	28	0.06835443037974684	0.0	0.11139240506329114	0.11139240506329114	0.26136363636363635	0.039240506329113925	0.04055007052186178	0.15514809590973203	0.10578279266572638	0.04866008462623413
29	9	9	5.067375886524824	1445	187	150	1	183	164	73	0.10618329039381673	101	6	8	11	3	3	22	2	0	0	2	29	2388	283	121	1	313	305	134	33	17	9	124	29	0.10380622837370242	0.006666666666666667	0.12664359861591695	0.11349480968858132	0.3224043715846995	0.05051903114186851	0.05067001675041876	0.13107202680067	0.1277219430485762	0.05611390284757119
