	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner
0	33	7.377358490566038	369	15	1	0	30	79	25	0.18519953506392872	0	1	0	0	0	0	0	0	0	0	0	14	120	5	3	0	11	20	6
1	34	7.446153846153846	475	29	19	0	47	64	34	0.21334012219959267	11	0	1	0	0	0	0	1	0	2	5	9	285	1	1	0	29	26	3
2	36	10.178571428571429	526	10	9	0	47	94	60	0.16156223658330993	1	0	1	0	0	0	0	4	0	4	0	0	111	0	0	0	14	5	0
3	36	6.962566844919786	1314	207	73	0	183	149	70	0.15191605839416059	53	16	48	0	0	0	0	4	0	0	0	86	760	3	0	0	82	107	0
4	37	14.237037037037037	1419	86	71	0	153	201	104	0.15529753265602322	23	0	0	0	0	1	0	0	0	40	7	15	48	1	1	0	4	4	0
5	37	6.061728395061729	832	99	70	0	117	95	43	0.18035516093229745	27	6	12	6	12	1	0	9	0	3	6	17	432	21	5	0	56	40	10
6	42	6.880952380952381	281	35	28	0	44	40	10	0.21025308241401688	22	3	3	0	0	0	0	0	0	2	1	4	126	0	0	0	17	17	0
7	46	14.409090909090908	569	50	34	0	66	82	60	0.25154457193292146	4	0	0	1	0	8	2	0	0	14	5	16	1	0	0	0	0	0	0
