group	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	group	%pronouns	%error	%verb	%noun	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
37	9	37	10.14938271604938	2251	185	141	0	270	296	147	0.16782634679416034	50	6	12	6	12	2	0	9	0	43	13	32	480	22	6	0	60	44	10	74	0.06263882718791648	0.0	0.11994669035984007	0.13149711239449133	0.06530430919591293	0.0125	0.125	0.09166666666666666	0.020833333333333332
42	6	42	6.8809523809523805	281	35	28	0	44	40	10	0.21025308241401688	22	3	3	0	0	0	0	0	0	2	1	4	126	0	0	0	17	17	0	42	0.099644128113879	0.0	0.15658362989323843	0.1423487544483986	0.03558718861209965	0.0	0.1349206349206349	0.1349206349206349	0.0
46	7	46	14.409090909090908	569	50	34	0	66	82	60	0.25154457193292146	4	0	0	1	0	8	2	0	0	14	5	16	1	0	0	0	0	0	0	46	0.05975395430579965	0.0	0.11599297012302284	0.14411247803163443	0.1054481546572935	0.0	0.0	0.0	0.0
