group	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	group	%pronouns	%error	%verb	%noun	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
37	1	37	4.597860962566846	881	86	65	0	77	143	32	0.21643301447533253	42	0	5	15	2	0	0	6	0	0	0	16	303	15	9	0	38	24	5	74	0.07377979568671963	0.0	0.08740068104426787	0.1623155505107832	0.036322360953461974	0.0297029702970297	0.1254125412541254	0.07920792079207921	0.0165016501650165
38	9	38	6.442051737082792	1511	107	89	0	121	228	79	0.21788662165807637	64	1	6	10	0	1	0	9	0	3	1	12	1074	108	35	1	133	133	45	114	0.05890138980807412	0.0	0.0800794176042356	0.15089344804765056	0.05228325612177366	0.032588454376163874	0.12383612662942271	0.12383612662942271	0.04189944134078212
39	5	39	7.08080808080808	700	51	49	0	91	68	38	0.1669449081803005	27	2	1	6	0	1	0	0	0	13	0	1	0	0	0	0	0	0	0	39	0.07	0.0	0.13	0.09714285714285714	0.054285714285714284				
40	13	40	5.302791696492484	1057	99	84	0	146	131	66	0.19128111444873205	62	1	1	8	0	10	0	0	0	3	0	14	867	25	9	0	132	75	17	80	0.07947019867549669	0.0	0.13812677388836328	0.1239356669820246	0.06244087038789026	0.010380622837370242	0.1522491349480969	0.08650519031141868	0.0196078431372549
41	17	41	5.5865232521354	1458	154	128	4	163	148	71	0.17886871451960526	98	4	11	1	1	13	2	0	0	4	5	15	0	0	0	0	0	0	0	82	0.0877914951989026	0.03125	0.11179698216735254	0.10150891632373114	0.04869684499314129				
42	33	42	5.398876162722785	1642	230	143	0	233	179	97	0.190971718028223	120	2	40	3	6	0	1	1	1	2	7	47	13	0	0	0	1	0	0	126	0.08708891595615104	0.0	0.14190012180267966	0.10901339829476249	0.05907429963459196	0.0	0.07692307692307693	0.0	0.0
43	42	43	5.251749039656636	2086	296	217	3	317	250	132	0.18717270150746254	180	1	60	6	7	1	0	1	1	12	8	19	297	3	0	0	46	30	8	129	0.1040268456375839	0.013824884792626729	0.15196548418024927	0.11984659635666348	0.06327900287631831	0.0	0.15488215488215487	0.10101010101010101	0.026936026936026935
44	16	44	4.882758620689655	722	69	54	0	69	92	39	0.20423143350604486	28	0	5	6	1	2	0	0	0	17	0	10	196	6	3	0	28	22	8	44	0.07479224376731301	0.0	0.09556786703601108	0.12742382271468145	0.054016620498614956	0.015306122448979591	0.14285714285714285	0.11224489795918367	0.04081632653061224
