group	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	#parentcased_pronouns	#parenterrors	#parent_verb	#parent_noun	#parent_determiner	group	%pronouns	%error	%verb	%noun	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
28	28	2.2131399075	489	42	34	0	54	31	9	0.190066858	34	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0.06952965235173825	0.0	0.11042944785276074	0.06339468302658487	0.018404907975460124				
33	33	3.3959980715	762	53	46	0	110	67	7	0.190066858	43	2	7	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	0	66	0.06036745406824147	0.0	0.14435695538057744	0.08792650918635171	0.009186351706036745	0.0	0.0	0.3333333333333333	0.0
34	34	2.920621118	915	94	76	0	120	114	16	0.190066858	71	1	15	0	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	68	0.08306010928961749	0.0	0.13114754098360656	0.12459016393442623	0.017486338797814208				
36	36	2.909329307	936	110	84	0	105	61	16	0.190066858	72	3	22	5	0	3	1	0	0	0	0	4	4	0	0	0	1	0	0	72	0.08974358974358974	0.0	0.11217948717948718	0.06517094017094018	0.017094017094017096	0.0	0.25	0.0	0.0
37	37	2.85625	498	38	30	0	60	74	13	0.190066858	30	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	37	0.060240963855421686	0.0	0.12048192771084337	0.14859437751004015	0.02610441767068273				
